,Text,Start,End,Label
0,Darth Vader,0,11,PERSON
1,George Lucas,195,207,PERSON
2,first,241,246,ORDINAL
3,six,247,250,CARDINAL
4,Darth,302,307,PERSON
5,Tatooine,337,345,PERSON
6,Anakin Skywalker,347,363,PERSON
7,Force,409,414,ORG
8,Force,452,457,ORG
9,Palpatine,461,470,PERSON
10,Obi-Wan Kenobi,545,559,PERSON
11,Vader,594,599,PERSON
12,the Galactic Empire,645,664,GPE
13,Luke Skywalker,742,756,PERSON
14,Palpatine,770,779,PERSON
15,Padmé Amidala,855,868,PERSON
16,Princess Leia,880,893,PERSON
17,Kylo Ren,914,922,PERSON
18,David Prowse,977,989,PERSON
19,Vader,1011,1016,PERSON
20,James Earl Jones,1023,1039,PERSON
21,Sebastian Shaw,1080,1094,PERSON
22,Jake Lloyd,1220,1230,PERSON
23,Hayden Christensen,1235,1253,PERSON
24,first,1305,1310,ORDINAL
25,two,1320,1323,CARDINAL
26,Shaw as Anakin's,1374,1390,PERSON
27,2004,1407,1411,DATE
28,first,1481,1486,ORDINAL
29,six,1487,1490,CARDINAL
30,Star Wars,1491,1500,WORK_OF_ART
31,The Force Awakens,1555,1572,PERSON
32,The Last Jedi,1577,1590,WORK_OF_ART
33,Vader,1623,1628,PERSON
34,Skywalker,1655,1664,PERSON
35,the Star Wars Expanded Universe,1766,1797,LAW
36,Darth Vader,1847,1858,PERSON
37,The American Film Institute,2001,2028,ORG
38,third,2047,2052,ORDINAL
39,100 Years,2097,2106,DATE
40,100,2110,2113,CARDINAL
41,Hannibal Lecter,2142,2157,PERSON
42,Norman Bates,2162,2174,PERSON
43,"""Dark Water""",2374,2386,WORK_OF_ART
44,Lucas,2393,2398,PERSON
45,Vaders,2426,2432,PERSON
46,Wilsons,2437,2444,PERSON
47,Smiths,2449,2455,PERSON
48,Darth,2503,2508,PERSON
49,Vader,2513,2518,PERSON
50,The Empire Strikes Back,2542,2565,WORK_OF_ART
51,1980,2567,2571,DATE
52,Lucas,2574,2579,PERSON
53,Vader,2594,2599,PERSON
54,German,2619,2625,NORP
55,Lucas's,2862,2869,ORG
56,Gary Vader,2871,2881,PERSON
57,"Darth""",2920,2926,WORK_OF_ART
58,The Phantom Menace,2963,2981,ORG
59,1999,2983,2987,DATE
60,first,3037,3042,ORDINAL
61,Obi-Wan Kenobi,3065,3079,ORG
62,Darth,3098,3103,PERSON
63,Anakin in Revenge of the Sith,3156,3185,WORK_OF_ART
64,2005,3187,3191,DATE
65,Force,3231,3236,ORG
66,Ken Annakin,3247,3258,PERSON
67,Swiss,3267,3272,NORP
68,Robinson,3280,3288,PERSON
69,Anakin,3375,3381,PERSON
70,Lucas,3403,3408,PERSON
71,Annakin,3443,3450,GPE
72,2009,3462,3466,DATE
73,Anakin,3468,3474,PERSON
74,Luke,3479,3483,PERSON
75,Starkiller,3504,3514,PERSON
76,a few months,3545,3557,DATE
77,Star Wars,3571,3580,WORK_OF_ART
78,Lucas,3614,3619,PERSON
79,Charles Manson,3658,3672,PERSON
80,Skywalker,3692,3701,PERSON
81,first,3741,3746,ORDINAL
82,The Star Wars,3756,3769,WORK_OF_ART
83,Darth Vader,3791,3802,PERSON
84,Annikin Starkiller,3876,3894,PERSON
85,Luke,3933,3937,PERSON
86,Lucas,3999,4004,PERSON
87,Sith,4022,4026,WORK_OF_ART
88,Schutzstaffel,4087,4100,ORG
89,Adolf Hitler,4108,4120,PERSON
90,The Empire Strikes Back,4154,4177,WORK_OF_ART
91,Lucas,4179,4184,PERSON
92,one,4205,4208,CARDINAL
93,Darth Vader,4234,4245,PERSON
94,Star Wars,4280,4289,WORK_OF_ART
95,1977,4291,4295,DATE
96,Lucas,4298,4303,PERSON
97,Leigh Brackett,4333,4347,PERSON
98,late November 1977,4414,4432,DATE
99,Lucas,4434,4439,PERSON
100,first,4485,4490,ORDINAL
101,Brackett,4502,4510,PERSON
102,Luke,4534,4538,PERSON
103,Luke,4579,4583,PERSON
104,Lucas,4585,4590,PERSON
105,Brackett,4629,4637,PERSON
106,Lucas,4716,4721,PERSON
107,"April 1, 1978",4773,4786,DATE
108,Vader,4821,4826,PERSON
109,Luke,4842,4846,PERSON
110,Lucas,4870,4875,PERSON
111,year-long,4935,4944,DATE
112,first,4967,4972,ORDINAL
113,Lucas,4979,4984,PERSON
114,Vader,5007,5012,PERSON
115,Luke,5017,5021,PERSON
116,first,5049,5054,ORDINAL
117,The Empire Strikes Back,5123,5146,WORK_OF_ART
118,Luke,5171,5175,PERSON
119,Michael Kaminski,5230,5246,PERSON
120,The Secret History of Star Wars,5257,5288,WORK_OF_ART
121,before 1978,5385,5396,DATE
122,first,5411,5416,ORDINAL
123,Vader,5468,5473,PERSON
124,Luke,5504,5508,PERSON
125,second,5537,5543,ORDINAL
126,third,5548,5553,ORDINAL
127,Lucas,5601,5606,PERSON
128,Anakin,5650,5656,PERSON
129,Obi-Wan Kenobi's,5666,5682,ORG
130,Luke,5723,5727,PERSON
131,Palpatine,5764,5773,PERSON
132,Anakin,5775,5781,PERSON
133,Obi-Wan,5790,5797,ORG
