,Text,Start,End,Label
0,George Walton Lucas Jr.,0,23,PERSON
1,"May 14, 1944",30,42,DATE
2,American,50,58,NORP
3,Lucas,116,121,PERSON
4,Indiana Jones,167,180,ORG
5,Lucasfilm,205,214,ORG
6,LucasArts,216,225,ORG
7,Industrial Light & Magic,231,255,ORG
8,Lucasfilm,282,291,ORG
9,The Walt Disney Company,313,336,ORG
10,2012,340,344,DATE
11,Lucas,346,351,PERSON
12,one,355,358,CARDINAL
13,four,438,442,CARDINAL
14,Academy Awards,443,457,ORG
15,100,483,486,CARDINAL
16,North American,518,532,NORP
17,Lucas,582,587,PERSON
18,20th-century,630,642,DATE
19,New Hollywood,643,656,GPE
20,the University of Southern California,689,726,ORG
21,1967,730,734,DATE
22,Lucas co-,736,745,ORG
23,American Zoetrope,753,770,ORG
24,Francis Ford Coppola,786,806,PERSON
25,Lucas,808,813,PERSON
26,1138,837,841,PERSON
27,1971,843,847,DATE
28,Electronic Labyrinth,885,905,WORK_OF_ART
29,1138,911,915,PERSON
30,American Graffiti,1023,1040,WORK_OF_ART
31,1973,1042,1046,DATE
32,the early 1960s,1074,1089,DATE
33,Modesto,1090,1097,GPE
34,California,1099,1109,GPE
35,Lucasfilm,1150,1159,ORG
36,five,1226,1230,CARDINAL
37,Academy Award,1231,1244,ORG
38,Best Picture,1268,1280,ORG
39,Lucas,1282,1287,PERSON
40,Star Wars (1977,1322,1337,WORK_OF_ART
41,six,1446,1449,CARDINAL
42,Academy Awards,1450,1464,ORG
43,Lucas,1501,1506,PERSON
44,The Empire Strikes Back,1541,1564,WORK_OF_ART
45,1980,1566,1570,DATE
46,1983,1596,1600,DATE
47,Steven Spielberg,1617,1633,PERSON
48,Indiana Jones,1674,1687,ORG
49,Raiders,1694,1701,ORG
50,1981,1719,1723,DATE
51,The Temple of Doom,1726,1744,ORG
52,1984,1746,1750,DATE
53,1989,1771,1775,DATE
54,The Kingdom of the Crystal Skull (2008,1781,1819,GPE
55,Lucas,1822,1827,PERSON
56,John Williams,1878,1891,PERSON
57,Spielberg,1923,1932,PERSON
58,Lucasfilm,2090,2099,ORG
59,between the 1970s and the 2010s,2100,2131,DATE
60,1997,2136,2140,DATE
61,Lucas re,2142,2150,PERSON
62,the Star Wars Trilogy,2160,2181,LAW
63,2004,2300,2304,DATE
64,2011,2309,2313,DATE
65,Star Wars:,2384,2394,WORK_OF_ART
66,1999,2427,2431,DATE
67,2002,2480,2484,DATE
68,2005,2536,2540,DATE
69,Star Wars:,2602,2612,WORK_OF_ART
70,2020,2640,2644,DATE
71,Red Tails (2012,2660,2675,WORK_OF_ART
72,Strange Magic,2695,2708,WORK_OF_ART
73,Modesto,2765,2772,GPE
74,California,2774,2784,GPE
75,Dorothy Ellinore Lucas,2797,2819,PERSON
76,George Walton Lucas Sr.,2840,2863,PERSON
77,German,2875,2881,NORP
78,Swiss-German,2883,2895,NORP
79,English,2897,2904,LANGUAGE
80,Scottish,2906,2914,NORP
81,Dutch,2928,2933,NORP
82,French,2938,2944,NORP
83,Disneyland,2974,2984,FAC
84,opening week,2996,3008,DATE
85,July 1955,3012,3021,DATE
86,Lucas,3027,3032,PERSON
87,Lucas,3200,3205,PERSON
88,"June 12, 1962",3384,3397,DATE
89,a few days,3399,3409,DATE
90,Lucas,3445,3450,PERSON
91,Autobianchi Bianchina,3477,3498,PERSON
92,Lucas,3597,3602,PERSON
93,Lucas,3888,3893,PERSON
94,George,3944,3950,PERSON
95,18,3982,3984,DATE
96,Lucas,3986,3991,PERSON
97,the age of 30,4096,4109,DATE
98,Modesto Junior College,4123,4145,ORG
99,8 mm,4260,4264,QUANTITY
100,Lucas,4316,4321,PERSON
101,John Plummer,4337,4349,PERSON
102,Canyon Cinema,4371,4384,ORG
103,16 mm,4425,4430,QUANTITY
104,Jordan Belson,4447,4460,PERSON
105,Stan Brakhage,4462,4475,PERSON
106,Bruce Conner,4481,4493,PERSON
107,Lucas,4495,4500,PERSON
108,Plummer,4505,4512,PERSON
109,European,4530,4538,NORP
110,Jean-Luc Godard's,4568,4585,PERSON
111,Breathless,4586,4596,WORK_OF_ART
112,François Truffaut's,4598,4617,PERSON
113,Jules et Jim,4618,4630,PERSON
114,Federico Fellini's,4636,4654,PERSON
115,8½.,4655,4658,WORK_OF_ART
116,George,4672,4678,PERSON
117,Plummer,4706,4713,PERSON
118,Lucas,4762,4767,PERSON
119,Haskell Wexler,4797,4811,PERSON
120,Wexler,4838,4844,PERSON
121,Lucas,4865,4870,PERSON
122,Lucas,4910,4915,PERSON
123,George,4926,4932,PERSON
124,Plummer,4995,5002,PERSON
125,Lucas,5021,5026,PERSON
126,the University of Southern California,5047,5084,ORG
127,USC) School of Cinematic Arts,5086,5115,ORG
128,USC,5117,5120,ORG
129,the years,5214,5223,DATE
130,USC,5227,5230,ORG
131,Lucas,5232,5237,PERSON
132,Randal Kleiser,5262,5276,PERSON
133,Walter Murch,5308,5320,PERSON
134,Hal Barwood,5322,5333,PERSON
135,John Milius,5339,5350,PERSON
136,The Dirty Dozen,5399,5414,WORK_OF_ART
137,Indiana Jones,5495,5508,ORG
138,Steven Spielberg,5523,5539,PERSON
139,Lucas,5541,5546,PERSON
140,Filmic Expression,5576,5593,PRODUCT
141,Lester Novros,5635,5648,PERSON
142,Film Form,5701,5710,WORK_OF_ART
143,Serbian,5785,5792,NORP
144,the USC Film Department,5816,5839,ORG
145,Slavko Vorkapić,5841,5856,PERSON
146,Hollywood,5918,5927,GPE
147,MGM,5947,5950,ORG
148,RKO,5952,5955,ORG
149,Paramount,5961,5970,ORG
150,Vorkapich,5972,5981,ORG
151,Lucas,6148,6153,PERSON
152,the National Film Board of Canada,6233,6266,ORG
153,Arthur Lipsett's,6272,6288,PERSON
154,21-87,6289,6294,DATE
155,French,6300,6306,NORP
156,Jean-Claude Labrecque's,6326,6349,PERSON
157,60,6364,6366,CARDINAL
158,Norman McLaren,6387,6401,ORG
159,Claude Jutra,6428,6440,PERSON
160,Lucas,6442,6447,PERSON
161,16 mm,6522,6527,QUANTITY
162,Look at Life,6606,6618,ORG
163,Herbie,6620,6626,PERSON
164,6-18-67,6702,6709,DATE
165,1967,6978,6982,DATE
166,the United States Air Force,7001,7028,ORG
167,Army,7149,7153,ORG
168,Vietnam,7178,7185,GPE
169,1967,7317,7321,DATE
170,Lucas re-enrolled,7323,7340,PERSON
171,USC,7346,7349,ORG
172,Verna Fields,7410,7422,PERSON
173,the United States Information Agency,7427,7463,ORG
174,Marcia Griffin,7494,7508,PERSON
175,U.S. Navy,7558,7567,ORG
176,Lucas,7627,7632,PERSON
177,Electronic Labyrinth,7657,7677,WORK_OF_ART
178,1138,7683,7687,PERSON
179,first,7703,7708,ORDINAL
180,Lucas,7762,7767,PERSON
181,Warner Bros.,7805,7817,ORG
182,Finian's Rainbow,7901,7917,ORG
183,1968,7919,7923,DATE
184,Francis Ford Coppola,7953,7973,PERSON
185,Hollywood,8072,8081,GPE
186,1969,8086,8090,DATE
187,Lucas,8092,8097,PERSON
188,one,8102,8105,CARDINAL
189,Rolling Stones,8145,8159,GPE
190,Gimme Shelter,8173,8186,FAC
191,1969,8255,8259,DATE
192,Lucas co-,8261,8270,ORG
193,American,8289,8297,NORP
194,Coppola,8312,8319,PERSON
195,Hollywood,8436,8445,GPE
196,Coppola,8461,8468,PERSON
197,Lucas's Electronic Labyrinth,8477,8505,ORG
198,first,8532,8537,ORDINAL
199,American,8586,8594,NORP
200,Lucas,8640,8645,PERSON
201,"Lucasfilm, Ltd.",8676,8691,ORG
202,American Graffiti,8721,8738,ORG
203,1973,8740,8744,DATE
204,Lucas,8747,8752,PERSON
205,Flash Gordon,8785,8797,PERSON
206,Star Wars,8983,8992,WORK_OF_ART
207,one,9046,9049,CARDINAL
208,Alan Ladd,9100,9109,PERSON
209,20th Century,9119,9131,DATE
210,Fox,9132,9135,PERSON
211,American Graffiti,9142,9159,WORK_OF_ART
212,Fox,9257,9260,ORG
213,Akira Kurosawa,9368,9382,PERSON
214,Spaghetti Westerns,9384,9402,PERSON
215,five years later,9532,9548,DATE
216,Spielberg,9552,9561,PERSON
217,E.T. the Extra-Terrestrial,9564,9590,WORK_OF_ART
218,American Graffiti,9613,9630,ORG
219,Star Wars,9672,9681,WORK_OF_ART
220,Lucas,9683,9688,PERSON
221,Star Wars,9762,9771,WORK_OF_ART
222,"150,000",9782,9789,MONEY
223,Fox,9915,9918,ORG
224,Lucasfilm,10067,10076,ORG
225,hundreds of millions of dollars,10088,10119,MONEY
226,Star Wars,10203,10212,WORK_OF_ART
227,Lucas,10276,10281,PERSON
228,Lucas,10409,10414,PERSON
229,Marcia Lucas,10537,10549,PERSON
230,Hiatus,10642,10648,DATE
231,Indiana Jones,10665,10678,ORG
232,first,10713,10718,ORDINAL
233,Star Wars,10719,10728,WORK_OF_ART
234,Lucas,10735,10740,PERSON
235,Lucas,10871,10876,PERSON
236,the next two,10909,10921,DATE
237,Irvin Kershner,10953,10967,PERSON
238,The Empire Strikes Back,10978,11001,LAW
239,Richard Marquand,11007,11023,PERSON
240,Lawrence Kasdan,11139,11154,PERSON
241,all four,11226,11234,CARDINAL
242,Indiana Jones,11242,11255,ORG
243,Steven Spielberg,11299,11315,PERSON
244,Lucas,11358,11363,PERSON
245,Kurosawa,11446,11454,PERSON
246,Kagemusha,11457,11466,PERSON
247,1980,11468,11472,DATE
248,Ewoks,11475,11480,ORG
249,Caravan of Courage,11482,11500,ORG
250,1984,11502,11506,DATE
251,Ewoks,11509,11514,ORG
252,Endor,11527,11532,WORK_OF_ART
253,1985,11534,11538,DATE
254,Jim Henson's,11541,11553,PERSON
255,1986,11565,11569,DATE
256,Godfrey Reggio's,11572,11588,PERSON
257,1986,11601,11605,DATE
258,Don Bluth's,11608,11619,PERSON
259,The Land Before Time,11620,11640,WORK_OF_ART
260,1988,11642,11646,DATE
261,Indiana Jones,11657,11670,ORG
262,The Young Indiana Jones Chronicles,11690,11724,ORG
263,More American Graffiti (1979,11789,11817,ORG
264,Willard Huyck's,11820,11835,PERSON
265,Howard the Duck,11836,11851,PERSON
266,1986,11853,11857,DATE
267,Lucas,11890,11895,PERSON
268,Ron Howard's,11906,11918,PERSON
269,1988,11927,11931,DATE
270,Coppola,11934,11941,PERSON
271,Tucker,11944,11950,PERSON
272,The Man and His Dream,11952,11973,WORK_OF_ART
273,1988,11975,11979,DATE
274,Mel Smith's,11986,11997,PERSON
275,Radioland Murders,11998,12015,ORG
276,1994,12017,12021,DATE
277,Pixar,12045,12050,ORG
278,1979,12066,12070,DATE
279,the Graphics Group,12074,12092,ORG
280,one third,12094,12103,CARDINAL
281,the Computer Division of Lucasfilm,12107,12141,ORG
282,Pixar,12143,12148,ORG
283,Star Trek II,12236,12248,WORK_OF_ART
284,Khan,12263,12267,PERSON
285,Sherlock Holmes,12278,12293,PERSON
286,1986,12326,12330,DATE
287,Steve Jobs,12334,12344,PERSON
288,Apple Computer,12367,12381,ORG
289,Lucas US$5 million,12393,12411,ORG
290,US$5 million,12420,12432,MONEY
291,Lucas,12481,12486,PERSON
292,June 1983,12705,12714,DATE
293,Lucas,12716,12721,PERSON
294,US$60 million,12732,12745,MONEY
295,that year,12803,12812,DATE
296,Star Wars,12866,12875,ORG
297,Return of the Jedi,12917,12935,WORK_OF_ART
298,Lucas,12952,12957,PERSON
299,1983,13053,13057,DATE
300,Lucas,13059,13064,PERSON
301,Tomlinson Holman,13069,13085,PERSON
302,THX Ltd.,13112,13120,ORG
303,Lucasfilm,13155,13164,ORG
304,Skywalker Sound,13253,13268,PERSON
305,Lucasfilm,13348,13357,ORG
306,Lucasfilm Games,13365,13380,ORG
307,LucasArts,13396,13405,ORG
308,Jones,13510,13515,PERSON
309,1987,13580,13584,DATE
310,Lucas,13586,13591,PERSON
311,Star Wars,13619,13628,WORK_OF_ART
312,The Star Wars,13745,13758,WORK_OF_ART
313,Star Wars,13883,13892,WORK_OF_ART
314,Dark Horse's,13935,13947,WORK_OF_ART
315,Timothy Zahn's,13968,13982,PERSON
316,Lucas,14011,14016,PERSON
317,1993,14176,14180,DATE
318,Variety,14203,14210,ORG
319,Lucas,14237,14242,PERSON
320,one,14354,14357,CARDINAL
321,Anakin Skywalker's,14369,14387,PERSON
322,Lucas,14411,14416,PERSON
323,first,14488,14493,ORDINAL
324,one,14628,14631,CARDINAL
325,Anakin,14661,14667,PERSON
326,"a ""Saga""",14767,14775,WORK_OF_ART
327,1994,14780,14784,DATE
328,Lucas,14786,14791,PERSON
329,first,14828,14833,ORDINAL
330,Episode I: The Beginning,14862,14886,WORK_OF_ART
331,1997,14891,14895,DATE
332,20th,14914,14918,ORDINAL
333,Star Wars,14934,14943,WORK_OF_ART
334,Lucas,14945,14950,PERSON
335,the Star Wars Special Edition,15088,15117,ORG
336,2004,15139,15143,DATE
337,2011,15168,15172,DATE
338,Lucas,15312,15317,PERSON
339,1138,15351,15355,PERSON
340,2004,15359,15363,DATE
341,CGI,15413,15416,ORG
342,first,15432,15437,ORDINAL
343,1999,15485,15489,DATE
344,first,15544,15549,ORDINAL
345,Lucas,15555,15560,PERSON
346,over two decades,15577,15593,DATE
347,first,15624,15629,ORDINAL
348,Lucas,15639,15644,PERSON
349,the next two,15687,15699,DATE
350,Episode II,15722,15732,WORK_OF_ART
351,first,15738,15743,ORDINAL
352,Episode II,15753,15763,EVENT
353,just weeks,15778,15788,DATE
354,Lucas,15823,15828,PERSON
355,Jonathan Hales,15835,15849,PERSON
356,The Young Indiana Jones Chronicles,15865,15899,ORG
357,2002,15948,15952,DATE
358,Star Wars:,15956,15966,WORK_OF_ART
359,Clones,15994,16000,PRODUCT
360,2002,16087,16091,DATE
361,2005,16112,16116,DATE
362,Jeff Nathanson,16266,16280,PERSON
363,2008,16300,16304,DATE
364,Indiana Jones,16310,16323,ORG
365,the Kingdom of the Crystal Skull,16328,16360,GPE
366,Steven Spielberg,16374,16390,PERSON
367,2008 to 2014,16534,16546,DATE
368,Lucas,16548,16553,PERSON
369,second,16614,16620,ORDINAL
370,Cartoon Network,16650,16665,ORG
371,Star Wars:,16667,16677,WORK_OF_ART
372,first,16764,16769,ORDINAL
373,Dave Filoni,16824,16835,PERSON
374,Lucas,16855,16860,PERSON
375,Series,16915,16921,EVENT
376,Attack of the Clones and,16952,16976,PERSON
377,Star Wars,17041,17050,WORK_OF_ART
378,Lucas,17068,17073,PERSON
379,2012,17099,17103,DATE
380,Lucas,17105,17110,PERSON
381,Red Tails,17144,17153,ORG
382,the Tuskegee Airmen,17191,17210,ORG
383,World War II,17218,17230,EVENT
384,Anthony Hemingway,17287,17304,PERSON
385,January 2012,17375,17387,DATE
386,Lucas,17389,17394,PERSON
387,June 2012,17541,17550,DATE
388,Kathleen Kennedy,17583,17599,PERSON
389,Steven Spielberg,17631,17647,PERSON
390,Indiana Jones,17670,17683,ORG
391,Lucasfilm Ltd.,17725,17739,ORG
392,Kennedy,17761,17768,PERSON
393,Lucas,17790,17795,PERSON
394,at least one year,17859,17876,DATE
395,Lucasfilm,17959,17968,ORG
396,Disney,17972,17978,ORG
397,Disney,17999,18005,ORG
398,second,18008,18014,ORDINAL
399,Steve Jobs,18062,18072,PERSON
400,Lucas,18073,18078,PERSON
401,Star Wars,18118,18127,WORK_OF_ART
402,first,18145,18150,ORDINAL
403,The Force Awakens,18157,18174,WORK_OF_ART
