,Text,Start,End,Label
0,the Galactic Republic,118,139,GPE
1,the Rebel Alliance,144,162,ORG
2,The Jedi Order,164,178,ORG
3,"approximately 25,000 years",281,307,DATE
4,first,333,338,ORDINAL
5,Jediism,448,455,PERSON
6,Force,485,490,ORG
7,the Galactic Republic,540,561,GPE
8,Star Wars galaxy,608,624,WORK_OF_ART
9,the Galactic Republic,659,680,GPE
10,the Republic City,699,716,GPE
11,Coruscant,718,727,ORG
12,Order,851,856,ORG
13,hundreds,1175,1183,CARDINAL
14,thousands,1206,1215,CARDINAL
15,first,1562,1567,ORDINAL
16,Kyber,3026,3031,ORG
17,George Lucas,3128,3140,PERSON
18,Japanese,3146,3154,NORP
19,Jed,3260,3263,PERSON
20,Jeddak,3277,3283,PERSON
21,Edgar Rice Burroughs,3316,3336,PERSON
22,Lucas,3352,3357,PERSON
23,Jedha,3483,3488,PERSON
24,George Lucas,3555,3567,PERSON
25,"Jedi, Sith",3581,3591,WORK_OF_ART
26,Force,3603,3608,ORG
27,Shaolin Monks,3688,3701,PERSON
28,Hindu,3714,3719,NORP
29,Shintō,3731,3737,NORP
30,Buddhism,3739,3747,NORP
31,Friedrich Nietzsche,3820,3839,PERSON
32,Joseph Campbell,3856,3871,PERSON
33,The Hero,3893,3901,WORK_OF_ART
34,1949,3925,3929,DATE
35,Lucas,3952,3957,PERSON
36,Star Wars,4013,4022,WORK_OF_ART
37,Force,4100,4105,ORG
38,Jedi Knights,4178,4190,ORG
39,Jedi,4477,4481,PRODUCT
40,Force,4545,4550,ORG
41,Sith,4671,4675,PRODUCT
42,Jedi,4700,4704,PRODUCT
43,Lucas,4746,4751,PERSON
44,Force,4758,4763,ORG
45,Force,4927,4932,ORG
46,Episode,4936,4943,DATE
47,Anakin,4960,4966,PERSON
48,The Force,5273,5282,ORG
49,The Force,5337,5346,ORG
50,In Episode IV,5418,5431,WORK_OF_ART
51,Obi-Wan Kenobi,5433,5447,PERSON
52,Luke Skywalker,5454,5468,PERSON
53,Skywalker,5763,5772,PERSON
54,over a thousand,5816,5831,CARDINAL
55,the Old Republic,5905,5921,GPE
56,Empire,5957,5963,GPE
57,1977,6002,6006,DATE
58,Star Wars,6022,6031,WORK_OF_ART
59,Force,6150,6155,ORG
60,Obi-Wan Kenobi,6157,6171,ORG
61,Alec Guinness,6173,6186,PERSON
62,the Galactic Empire,6202,6221,GPE
63,Luke Skywalker,6276,6290,PERSON
64,Mark Hamill,6292,6303,PERSON
65,the Jedi Order's,6311,6327,ORG
66,Darth Vader,6339,6350,PERSON
67,David Prowse,6352,6364,PERSON
68,James Earl Jones,6365,6381,PERSON
69,Jedi,6410,6414,WORK_OF_ART
70,Battle,6471,6477,PERSON
71,Luke,6488,6492,PERSON
72,The Empire Strikes Back,6543,6566,WORK_OF_ART
73,Luke,6568,6572,PERSON
74,Yoda,6656,6660,PERSON
75,Frank Oz,6662,6670,PERSON
76,Vader,6696,6701,PERSON
77,Jedi Knight Anakin Skywalker,6734,6762,PERSON
78,third,6768,6773,ORDINAL
79,Luke,6834,6838,PERSON
80,Vader,6849,6854,PERSON
81,Empire,6882,6888,GPE
82,two,6933,6936,CARDINAL
83,Luke,7039,7043,PERSON
84,the Jedi Temple,7144,7159,FAC
85,Coruscant,7163,7172,ORG
86,Force,7235,7240,ORG
87,Episode,7272,7279,DATE
88,1999,7303,7307,DATE
