,Text,Start,End,Label
0,The Millennium Falcon,0,21,ORG
1,Joe Johnston,86,98,PERSON
2,Star Wars,113,122,WORK_OF_ART
3,1977,124,128,DATE
4,The Star Wars Holiday Special,163,192,ORG
5,1978,194,198,DATE
6,The Empire,201,211,PERSON
7,1980,226,230,DATE
8,1983,253,257,DATE
9,The Force Awakens,260,277,PRODUCT
10,2015,279,283,DATE
11,2017,301,305,DATE
12,Solo:,308,313,WORK_OF_ART
13,2018,333,337,DATE
14,Skywalker,356,365,PERSON
15,2019,367,371,DATE
16,Revenge of the Sith,426,445,WORK_OF_ART
17,Falcon,472,478,ORG
18,James Luceno's,578,592,PERSON
19,Millennium Falcon,599,616,ORG
20,2014,669,673,DATE
21,The Lego Movie,688,702,WORK_OF_ART
22,Lego,706,710,ORG
23,Billy Dee Williams,722,740,PERSON
24,Anthony Daniels,745,760,PERSON
25,Lando Calrissian,786,802,PERSON
26,Keith Ferguson,818,832,PERSON
27,Han Solo,841,849,PERSON
28,L3-37,939,944,LAW
29,Phoebe Waller-Bridge,946,966,PERSON
30,Han Solo,1013,1021,PERSON
31,Harrison Ford,1023,1036,PERSON
32,Alden Ehrenreich,1041,1057,PERSON
33,Wookiee,1067,1074,NORP
34,Chewbacca,1087,1096,PERSON
35,Peter Mayhew,1098,1110,PERSON
36,Joonas Suotamo,1115,1129,GPE
37,Lando Calrissian,1179,1195,PERSON
38,Billy Dee Williams,1197,1215,PERSON
39,Donald Glover,1220,1233,PERSON
40,Star Wars,1289,1298,WORK_OF_ART
41,Falcon,1310,1316,ORG
42,the Millennium Falcon,1399,1420,ORG
43,the Rebel Alliance,1485,1503,ORG
44,the New Republic,1508,1524,GPE
45,the Eagle Transporters in Space,1637,1668,ORG
46,1999,1670,1674,DATE
47,Lucas,1684,1689,PERSON
48,Falcon,1704,1710,ORG
49,Leia,1786,1790,ORG
50,Tantive IV,1799,1809,ORG
51,Modelmaker Joe Johnston,1811,1834,PERSON
52,about four weeks,1839,1855,DATE
53,Falcon,1872,1878,ORG
54,Lucas,1884,1889,PERSON
55,Johnston,1910,1918,PERSON
56,Johnston,1954,1962,PERSON
57,four-week,2260,2269,DATE
58,Johnston,2278,2286,PERSON
59,Falcon,2316,2322,LAW
60,two,2425,2428,CARDINAL
61,McDonnell Douglas,2461,2478,ORG
62,one,2490,2493,CARDINAL
63,Ben Burtt,2602,2611,PERSON
64,Industrial Light & Magic,2675,2699,ORG
65,the Millennium Falcon,2744,2765,ORG
66,Star Wars,2836,2845,WORK_OF_ART
67,Mos Eisley's,2909,2921,PRODUCT
68,Docking Bay 94,2922,2936,LOC
69,Death Star,2945,2955,ORG
70,Star Wars,3501,3510,WORK_OF_ART
71,five feet,3573,3582,QUANTITY
72,Princess Leia,3675,3688,PERSON
73,Carrie Fisher,3690,3703,PERSON
74,first,3721,3726,ORDINAL
75,1997,3773,3777,DATE
76,Special Edition,3779,3794,WORK_OF_ART
77,Falcon,3891,3897,ORG
78,Docking Bay,3915,3926,LOC
79,The Empire Strikes Back,3934,3957,WORK_OF_ART
80,spring 1979,3998,4009,DATE
81,Marcon Fabrications,4011,4030,ORG
82,UK,4073,4075,GPE
83,Magic Roundabout,4265,4281,PRODUCT
84,1930s,4306,4311,DATE
85,Western Sunderland Flying Boat,4312,4342,ORG
86,Pembroke Dock,4353,4366,FAC
87,West Wales,4368,4378,GPE
88,three months,4402,4414,DATE
89,25 long tons,4442,4454,QUANTITY
90,25,4456,4458,CARDINAL
91,65 feet,4472,4479,QUANTITY
92,20 m,4481,4485,QUANTITY
93,20 feet,4503,4510,QUANTITY
94,6.1 m,4512,4517,QUANTITY
95,up to 1.5 inches,4564,4580,QUANTITY
96,38 mm,4582,4587,QUANTITY
97,Elstree Studios,4670,4685,ORG
98,Hertfordshire,4687,4700,GPE
99,Today,4715,4720,DATE
100,Pembroke Dock,4726,4739,ORG
101,Falcon,4820,4826,ORG
102,Star Wars:,4866,4876,WORK_OF_ART
103,ILM,4922,4925,ORG
104,five-foot,5009,5018,QUANTITY
105,ILM,5085,5088,ORG
106,Imperial TIE,5158,5170,ORG
107,approximately 32 inches,5267,5290,QUANTITY
108,five-foot,5354,5363,QUANTITY
109,32,5437,5439,CARDINAL
110,the Millennium Falcon,5466,5487,ORG
111,The Force Awakens,5600,5617,WORK_OF_ART
112,Star Wars:,5644,5654,WORK_OF_ART
113,Star Wars,5749,5758,WORK_OF_ART
114,Star Wars,5905,5914,WORK_OF_ART
115,seven,5970,5975,CARDINAL
116,Two,6334,6337,CARDINAL
117,Lando Calrissian,6440,6456,PERSON
118,Billy Dee Williams,6458,6476,PERSON
119,Luke Skywalker,6493,6507,PERSON
120,Mark Hamill,6509,6520,PERSON
121,Luke,6549,6553,PERSON
122,5-foot,6575,6581,CARDINAL
123,1.5 m,6588,6593,QUANTITY
124,one,6722,6725,CARDINAL
125,U.S.,6748,6752,GPE
126,1997,6777,6781,DATE
127,Special Edition,6782,6797,WORK_OF_ART
128,CGI,6801,6804,ORG
129,Cloud City,6873,6883,GPE
130,Return of the Jedi,6924,6942,LAW
131,Falcon,7054,7060,ORG
132,Han,7107,7110,NORP
133,Lando,7133,7138,PERSON
134,Falcon,7157,7163,ORG
135,Falcon,7169,7175,ORG
136,Lucasfilm,7392,7401,ORG
137,Falcon,7476,7482,ORG
138,Coruscant,7502,7511,ORG
139,2005,7536,7540,DATE
140,Lucas,7543,7548,PERSON
141,Falcon,7584,7590,ORG
142,CGI,7633,7636,ORG
143,Disney,7679,7685,ORG
144,Star Tours: The Adventures Continue,7697,7732,WORK_OF_ART
145,"June 3, 2014",7737,7749,DATE
146,TMZ,7751,7754,ORG
147,Falcon,7774,7780,ORG
148,Star Wars,7798,7807,WORK_OF_ART
149,Falcon,7912,7918,ORG
150,Falcon,7955,7961,ORG
151,The Force Awakens,7996,8013,WORK_OF_ART
152,"November 28, 2014",8027,8044,DATE
153,1977,8111,8115,DATE
154,five-foot,8116,8125,QUANTITY
155,first,8312,8317,ORDINAL
156,three,8318,8323,CARDINAL
157,Lando Calrissian,8446,8462,PERSON
158,several years,8489,8502,DATE
159,A New Hope,8533,8543,WORK_OF_ART
160,Obi-Wan Kenobi,8559,8573,ORG
161,Alec Guinness,8575,8588,PERSON
162,"Luke Skywalker
",8594,8609,PERSON
163,Mark Hamill,8610,8621,PERSON
164,Mos Eisley,8647,8657,LOC
165,Anthony Daniels,8690,8705,PERSON
166,Kenny Baker,8715,8726,PERSON
167,Death Star,8744,8754,WORK_OF_ART
168,Alderaan,8764,8772,ORG
169,Falcon,8783,8789,ORG
170,the Death Star,8805,8819,ORG
171,Luke,9080,9084,PERSON
172,the Death Star,9099,9113,FAC
173,Falcon,9131,9137,ORG
174,Chewbacca,9144,9153,PERSON
175,Leia,9155,9159,PERSON
176,Imperial,9192,9200,ORG
177,Starfleet,9201,9210,PRODUCT
178,The Empire,9214,9224,PERCENT
179,Cloud City,9267,9277,GPE
180,Darth Vader,9285,9296,PERSON
181,David Prowse,9298,9310,PERSON
182,James Earl Jones,9311,9327,PERSON
183,Lando Calrissian,9344,9360,PERSON
184,Falcon,9427,9433,ORG
185,Jabba,9469,9474,PERSON
186,Hutt,9479,9483,PERSON
187,Calrissian,9485,9495,PERSON
188,Falcon,9515,9521,ORG
189,Nien Nunb,9568,9577,ORG
190,second,9606,9612,ORDINAL
191,Death Star,9613,9623,ORG
192,second,9636,9642,ORDINAL
193,Death Star,9643,9653,ORG
194,Lando,9668,9673,PERSON
195,second,9784,9790,ORDINAL
