,Text,Start,End,Label
0,American,16,24,NORP
1,George Lucas,69,81,PERSON
2,1977,114,118,DATE
3,2020,406,410,DATE
4,US$70 billion,445,458,MONEY
5,fifth,484,489,ORDINAL
6,Star Wars,555,564,WORK_OF_ART
7,Episode IV,591,601,WORK_OF_ART
8,1977,615,619,DATE
9,Episode,650,657,WORK_OF_ART
10,1980,686,690,DATE
11,Episode VI,696,706,PERSON
12,1983,728,732,DATE
13,Star Wars,756,765,WORK_OF_ART
14,Lucas,775,780,PERSON
15,Episode I: The Phantom Menace,853,882,WORK_OF_ART
16,1999,884,888,DATE
17,2002,925,929,DATE
18,Episode III,936,947,LAW
19,Revenge of the Sith,949,968,PERSON
20,2005,970,974,DATE
21,2012,980,984,DATE
22,Lucas,986,991,PERSON
23,Disney,1023,1029,ORG
24,Episode VII:,1130,1142,ORG
25,The Force Awakens,1143,1160,PRODUCT
26,2015,1162,1166,DATE
27,2017,1198,1202,DATE
28,Episode IX,1209,1219,WORK_OF_ART
29,Skywalker,1233,1242,PERSON
30,2019,1244,1248,DATE
31,nine,1255,1259,QUANTITY
32,Skywalker,1274,1283,PERSON
33,Academy Awards,1309,1323,ORG
34,first,1348,1353,ORDINAL
35,two,1354,1357,CARDINAL
36,2016,1469,1473,DATE
37,2018,1485,1489,DATE
38,over US$10 billion,1548,1566,MONEY
39,second,1592,1598,ORDINAL
40,daily,1890,1895,DATE
41,the Star Destroyers,2058,2077,PRODUCT
42,Death Stars,2120,2131,WORK_OF_ART
43,two,2160,2163,CARDINAL
44,Force,2258,2263,ORG
45,Force,2435,2440,ORG
46,Force,2586,2591,ORG
47,two,2606,2609,CARDINAL
48,Jedi,2665,2669,PRODUCT
49,the Galactic Republic,2687,2708,GPE
50,Force,2742,2747,ORG
51,the Dark Lords of the Sith,2897,2923,LAW
52,Darths,2929,2935,PERSON
53,two,2968,2971,CARDINAL
54,Hutt,3404,3408,LOC
55,three,3647,3652,CARDINAL
56,January 2021,3735,3747,DATE
57,The High Republic,3749,3766,GPE
58,"the ""High Republic""",3779,3798,LAW
59,200 years,3804,3813,DATE
60,The High Republic,3876,3893,GPE
61,Galactic Republic,3998,4015,GPE
62,Palpatine,4043,4052,PERSON
63,Darth Sidious,4076,4089,PERSON
64,Separatist,4153,4163,NORP
65,Palpatine,4179,4188,PERSON
66,Galactic,4276,4284,NORP
67,August 2019,4422,4433,DATE
68,Reign,4435,4440,DATE
69,Empire,4518,4524,GPE
70,The Bad Batch,4551,4564,ORG
71,Solo:,4569,4574,WORK_OF_ART
72,Empire,4662,4668,GPE
73,the Rebel Alliance,4682,4700,ORG
74,a Galactic Civil War,4704,4724,EVENT
75,several years,4736,4749,DATE
76,Star Wars Rebels,4868,4884,WORK_OF_ART
77,The New Republic,4929,4945,GPE
78,the formative years,4994,5013,DATE
79,the New Republic,5017,5033,GPE
80,Empire,5060,5066,GPE
81,Mandalorian,5084,5095,ORG
82,The Book of Boba Fett,5121,5142,WORK_OF_ART
83,the New Republic,5155,5171,GPE
84,Ahsoka,5177,5183,PERSON
85,Empire,5270,5276,GPE
86,Rebellion,5325,5334,ORG
87,the New Republic,5345,5361,GPE
88,Snoke,5459,5464,PERSON
89,Palpatine,5500,5509,PERSON
90,Star Wars Resistance,5536,5556,WORK_OF_ART
91,This era,5587,5595,DATE
92,Legends,5788,5795,ORG
93,"April 25, 2014",5799,5813,DATE
94,three,5973,5978,CARDINAL
95,Skywalker,6041,6050,PERSON
96,between 1977 and 1983,6156,6177,DATE
97,between 1999 and 2005,6231,6252,DATE
98,Episodes VII–IX,6258,6273,PRODUCT
99,between 2015 and 2019,6311,6332,DATE
100,Skywalker,6394,6403,PERSON
101,Luke Skywalker,6467,6481,PERSON
102,Anakin,6529,6535,PERSON
103,Luke,6560,6564,PERSON
104,Kylo Ren,6575,6583,PERSON
105,Disney,6721,6727,ORG
106,Jay Rasulo,6752,6762,PERSON
107,first,6786,6791,ORDINAL
108,One,6805,6808,CARDINAL
109,2016,6810,6814,DATE
110,the Death Star,6857,6871,ORG
111,Episode IV,6890,6900,WORK_OF_ART
112,2018,6908,6912,DATE
113,Han Solo's,6925,6935,ORG
114,Chewbacca,6995,7004,PERSON
115,Lando Calrissian,7009,7025,PERSON
116,Darth Maul,7064,7074,PERSON
117,Lucasfilm,7076,7085,ORG
118,Star Wars,7102,7111,WORK_OF_ART
119,two,7134,7137,CARDINAL
120,Disney Investor,7169,7184,ORG
121,Day 2020,7185,7193,DATE
122,first,7199,7204,ORDINAL
123,Rogue Squadron,7227,7241,ORG
124,Patty Jenkins,7270,7283,PERSON
125,"December 25, 2023",7317,7334,DATE
126,second,7340,7346,ORDINAL
127,Taika Waititi,7375,7388,PERSON
128,May 2020,7397,7405,DATE
129,Star Wars,7438,7447,WORK_OF_ART
130,Krysty Wilson-Cairns,7476,7496,PERSON
131,Skywalker,7543,7552,PERSON
132,The Last Jedi,7578,7591,WORK_OF_ART
133,Rian Johnson,7608,7620,PERSON
134,September 2019,7625,7639,DATE
135,Kathleen Kennedy,7663,7679,PERSON
136,Kevin Feige,7684,7695,PERSON
137,Star Wars,7727,7736,WORK_OF_ART
